Index,koerpergroesse_cm,gewicht_kg
1,167.0896049002342,51.252535867225006
2,181.648630682422,61.90959788190101
3,176.27279696284788,69.41183424475301
4,173.2701614077692,64.562251420898
5,172.1810348240632,65.452063573127
6,174.49251098948207,55.92902784268801
7,177.2971789475225,64.180916315439
8,177.83738613944064,61.898258072651004
9,172.47272841969928,50.971217879351
10,169.6271918622703,54.733721229264
11,168.87873007346778,57.811073304292
12,171.76325563031344,51.774393888910005
13,173.48829660450576,56.976055110359
14,170.47605984957073,55.547738096466
15,173.43035920537253,52.655996019242004
16,180.5726612985192,63.501797819075
17,168.810937474482,58.741255177451
18,174.36914319132774,64.851597993721
19,180.92503549324744,62.551521803925006
20,170.51319464901516,56.265820177413005
21,172.29782402231595,64.083847548259
22,174.95217478260523,65.108285915904
23,161.2421185877163,44.407559384426705
24,173.79154719996893,58.74143661439901
25,171.77521903013448,64.342123043737
26,170.7099430460717,58.841998042828
27,179.9395663079907,64.602212908695
28,171.43562103521506,59.670166991974
29,168.9963828717076,49.138750063788
30,166.22008671324275,51.660632922514004
31,176.58917935811462,46.856817568791996
32,167.16552549909838,54.772911610032004
33,172.2533994229806,57.056749192982004
34,179.3114243173881,61.789486622325
35,182.38429087141608,63.548971425554996
36,175.78356757016707,58.39942796741901
37,169.68134466146017,64.319125910578
38,171.85367962896066,54.989864840603
39,172.22980282333364,59.578359896286
40,162.6751865662767,48.403522191255
41,174.17955759416407,56.408656414726
42,165.56626532302434,56.635135085067
43,176.93167295299068,63.353745269507
44,172.63696481724222,62.309802429952
45,167.59143269272656,48.284862427263
46,174.42812199044536,58.406322571443006
47,169.87743265852657,66.081014753369
48,171.95464462745014,52.988207071030004
49,177.34576914679553,65.145616567955
50,175.48394917464955,61.204352465025
51,177.58356394323798,66.688012062903
52,171.02282024139083,57.301643713545005
53,178.48424792976317,56.91853959784301
54,175.5227349740693,52.484447384908
55,166.07423991542473,56.013758897404
56,178.26855113299015,67.082954939462
57,178.83166912456554,70.714460812919
58,169.02114787133715,58.093479913854
59,168.56501467816116,54.145366566137
60,171.54397743359402,60.697372273076
61,168.92061467284117,58.392079771024996
62,175.25893057801593,62.389498609361
63,173.4910144044651,58.858327368148004
64,170.2118744535231,58.43358347288001
65,179.84703410937504,61.378531935105
66,173.27755280765862,49.718849345781
67,175.41021297575267,64.622579206108
68,172.03681362622086,60.21393352513
69,170.72782464580416,46.95928408517501
70,171.11377764003007,56.576530950863
